,Title_Desc
0,Champions of Azeroth : Assist Magni by completing 4 Azerite world quests.
1,"The Heart of Azeroth : Our world's dyin', <name>. Sargeras's sword has cut deep. Her pain is drivin' the elements into a frenzy!  I can hear Azeroth's voice, but she needs more than her speaker.  She needs her champion.  Far below us lies an ancient titan vault called the Chamber of Heart. I sense she wishes tae speak tae ye there.  Come with me into the chamber. It may be our only chance tae save her!"
2,"Delegation : I am duty-bound to look into your claims immediately, <race>, which means my mission here now must fall to you.A surge of ancient magic, far too strong to have occurred naturally, drew me here. I have since discovered a most troubling development.A bough from Nordrassil has been ripped from the tree and taken deep into the Firelands. There, a powerful ritual threatens to corrupt Nordrassil, consuming it in flame.You must find a way to interrupt the ritual and reclaim the World Tree's branch."
3,"They Grow Up So Fast : I think this little fellow will be a good match for you.This cub is going to require a lot of attention to ensure that he grows up strong and healthy. You should check up on your cub at least once each day. Feeding and caring for your Winterspring cub is the best way to build a bond of trust with him.As your cub grows, he will shed his old whiskers and grow new ones appropriate to his size. Once your cub has shed twenty whiskers, bring him back to me along with some materials for your saddle."
4,"Legion: The Legion Returns : Heroes of the Alliance, I write to you in Azeroth's darkest hour. From the maw of hell, the burning armies of the Legion have returned.  Our fleets depart for the Broken Isles at once. As a grand lance, we will pierce the Legion's lines and drive them back to the nether that spawned them.  Your ship awaits in the Stormwind Harbor, make haste."
5,"A Dying World : Champion. Magni Bronzebeard needs your help.  Azeroth is dying. Before this war, a massive demon called Sargeras stabbed the planet with a sword.  Our planet cries out in pain while the Horde and Alliance fight amongst each other.  Magni Bronzebeard believes you can help heal the planet's wounds.  Meet him in Silithus. He has set up camp where Sargeras's sword impacted our world."
6,"The Art of War : Lok'tar Ogar, old friend. It has been too long since last we spoke.It is good to see that you emerged safely from the depths of Vashj'ir.I am stationed here in Grommash Hold.All in service to the Horde are to swear allegiance to their new Warchief.You would do well not to keep him waiting, <name>."
7,"Toxic Tolerance : You want to ride a Venomhide? Then I've got bad news for you.The Venomhide Ravasaurs, they're all poison: Poison blood, poison spit, poison skin. You climb on one, you fall off dead in a few hours.You'd have to build up a resistance to their toxins before I sold you one, and that takes a long, LONG time... you'd need to be splashed with poisonous blood while fighting one numerous times. If you're really interested, the venomhides prefer the northern area of the Marshlands, northwest of here."
8,"Battle for Azeroth: Mission Statement : The warchief has requested to meet with you in person.  Lady Sylvanas was impressed with the prowess and courage you displayed during our mission to Exile's Reach.   Now that you've arrived, I will make the introduction."
9,"The Ritual Bond : I will tend to Grimclaw until his rest is done - he will be ready to return very soon. I have one more task for you while we wait... a favor to grant you, really, should you recognize it.The great wildlife spirits roam around us waiting and hoping for someone that will aid in stopping the destruction. They are with us as we speak even now, and with the materials  you brought me, I can grant you sight. Speak to these spirits, choose one, and return to me with their blessing."
10,"Hero's Call: Mount Hyjal! : By order of his royal highness, King Anduin Wrynn, all able-bodied citizens of the Alliance are to report to Emissary Windsong at Nighthaven in Moonglade.Our brothers in the Cenarion Circle report that Deathwing's minions have launched a destructive offensive against the world tree and threaten to burn it to the ground!Speak with Cenarion Emissary Jademoon in Stormwind Keep to gain entry into Moonglade.For the glory and honor of the Alliance! Fight on, <brother/sister>!"
11,"Battle for Azeroth: Hour of Reckoning : Champions of the Alliance,   At last the time has come for us to reclaim what is rightfully ours! Our final push to retake Lordaeron Keep shall commence at dawn.   The Horde and their Warchief must answer for their crimes!"
12,"Machines of War : Far to the east the ""Worldbreakers"" lay hidden in the Twilight Highlands. We must end their threat and we will do it with the most powerful army ever!  Our new allies, the goblins, are making us new machines of war but I hear that there are problems with the quality. We can't fight with broken war machines. Speak to Foreman Glibbs and make sure our machines are ready for battle."
13,"Security! : It's not as like I haven't got enough to think about here!Keeping this place operational is hard enough without constant elf and draenei harassment.Now, on top of everything, there's an assassin lurking around the camp who's killed an important diplomat... on my watch!Whoever it is couldn't have gotten far, <class>. Scour the camp until you find her and then avenge the diplomat!At least I can bring the assassin's head with me when I have to answer to Hellscream."
14,"Just a Fancy Cockroach : Evidently, the ancient statues were home to various species of scarab.Determined to leave this site in the best condition possible, you resolve to ridding the chamber of these pests."
15,"Light Camera Action : Oh, hi! Isn't this a great shot? I love my S.E.L.F.I.E. camera!  Do you want me to make you one, too? I only need a few parts!  For the strap, I'll need a Russet Belt from one of the armor merchants in Stormwind.  I've already ordered more housings, you're welcome to take one, you just have to find where my shipment ended up!  Oh, and a Standard Scope, most any engineer can make you one of those.  Ok, are you ready for a little photography action?!"
16,"The Battle for Lordaeron : King Wrynn has mustered our forces, <name>. We mean to launch a full-scale assault on Lordaeron.  We'll drive the Horde from the keep and reclaim it for the Alliance. It's been far too long since our flag flew in Tirisfal.  Ready to ship out? Captain Angelica here will see to your transport."
17,"Elementary! : <You can't read the text, but diagrams seem to indicate that the devices around you should be activated in a set order.><One passage of the Apocrypha has been translated to modern text:>   In the beginning was shadow eternal.   Hate blazed forth, and FIRE was born.   Wounds scabbed, and so begat EARTH.   Cries of anguish birthed howling WIND.   Wherein the skies wept seas of TEARS.      We live in the shadow,      The world we know   Built of rage, hurt, anguish and sorrow."
18,"The Grimtotem Weapon : During the last Grimtotem attack, I was wounded, but not before I managed to capture a curious totem our enemies were using against us.It seemed to be emitting raw bolts of energy during the battle, but in all my experiments, I haven't managed to figure out how it works. I'll loan the totem to you if you agree to help me test it.The watery areas surrounding the farm are home to pesky mottled drywallow crocolisks and drywallow daggermaws. Try fighting the crocolisks near the totem."
19,"The Hopeless Ones... : On a ledge of the reef, deeper than where you found the bloodcursed naga, you will find the hopeless ones: The bloodcursed voyagers, ghosts of those taken by the bloodcurse.It is regrettable, what I ask of you now... but they must be destroyed and their cursed shells brought back to me.Their souls must be put to rest. Return to me when you have done as asked and I shall give you one final task."
20,"Supplies from the Uldum Accord : The Uldum Accord appreciates all the help you've given us.  Please take these supplies as a token of our gratitude, and a promise of more to come, should you continue to help us."
21,"Fel To Pieces : The infernals that lurk in Shatter Scar Vale are formidable, but not invincible. Much progress has been made in thinning their numbers.Destroying them is only part of the solution, however. I've found that the stone that infernals are made of still contains large amounts of fel magic even after the infernal's death.The rubble of slain infernals now litters Shatter Scar Vale, leeching its corruption back into the ground. If you could collect it and bring it to me, I would be grateful."
22,"Stalling the Survey : These maps have all been drawn by the same steady hand. I've seen a human surveyor heading up and down the road between the hold and the jungle to the east.We can set their plans back by making an example out of this surveyor, <name>.<Kilrok points to the signature at the bottom of the maps.>What do you think that says? ""Zykes?"" Even human names sound thin and weak. Kill him."
23,"My Own Drone : The saddle is complete. I can't say I enjoyed working with that corrupted metal, but in the end I can easily say this is the finest saddle I have ever crafted.  I know it looks... aggressive, but I assure you that your aqir will find it quite comfortable.  I hope it serves you well."
24,"Warchief's Command: Mount Hyjal! : All able-bodied members of the Horde are hereby ordered to report to Emissary Windsong at Nighthaven in Moonglade.Our brothers in the Cenarion Circle report that Deathwing's minions have launched a destructive offensive against the world tree and threaten to burn it to the ground!Speak with Cenarion Emissary Blackhoof to gain entry into Moonglade. Blackhoof is located at the tauren district in the Valley of Wisdom in Orgrimmar.Onward, <brother/sister>! Destiny calls!"
25,Adventurers Wanted: Chromie's Call : Chromie is seeking veteran adventurers to embark on expeditions through time and space.This is your opportunity to experience the legendary adventures of the past--today!Speak with Chromie near the Stormwind Embassy for more information.
26,"Farewell, Minnow : Thank you, little one.Sometimes it's easy to get lost in the throes of love and lose sight of things, even as a dragon. I plan to rededicate myself entirely to making sure Kalec never steps up to take Malygos' place. It's the most noble cause I can think of.You should head back to the harbor. I believe someone's waiting for you there.Try not to get squashed or eaten by anything."
27,"The Stormwind Extraction : My lady is shrewd indeed. If we are to infiltrate Stormwind City, we will need the very best the Horde has to offer, and yet a team so small as to be able to infiltrate the heart of Alliance territory unseen.  <Nathanos peers at the gathered group, stroking his chin.>  Yes, I see.  The path ahead is clear. Speak to me when you are ready to undertake the Warchief's mission, <name>."
28,"Proving Pit : Ya done quite well for ya'self, <class>. I'm sure I could teach ya a trick or two here and dere, but I not be wastin' ya time on tiki targets no longer.l put one last trial before ya den, mon. Head over to da provin' pit in the middle of dis area and fight a real baddy - one dat wants ta kill ya back. Just let the jailor by the pit know when ya ready."
29,"Down From the Sky : The archers of Ramkahen are highly skilled, but the bows of the Amathet have the advantage of range. This makes our incursions into their territory highly dangerous.  You have a knack for fighting behind enemy lines. If you could thin out their ranks, it could provide us an opportunity to push their lines back for once.  Will you help?"
30,"Rider on the Storm : You cannot help but to feel a twinge of pride, having unlocked this long lost secret of the ancient worshippers of Elune.You now possess the power to inflict great damage upon your enemy.As it was Furien's tireless work that made this possible, it only seems right that the weapon should be unleashed upon those who took his life.The Alliance scum at Nijel's Point shall pay for their offenses against the Horde!"
