name,description
Danger_Near_and_Far,"We have done all we can about the Jailer for now my friend. There are other matters that require our attention. Like the devourer rifts I recently saw opening to the east! If we do not stop them, those beasts will wreak havoc on this place. Will you help me take care of them, <name>? "
Dangerous_State,Enemies have attacked the Jiro and severed them from the circle. The Jiro are no longer stable. They are a danger to the order of things. They must be removed. 
Dangerous_to_Go_Alone,There is one last thing you must do before we can act to clean up Denathrius' chaos. You must have a soulbind. All kyrian undergo this sacred ritual--albeit typically many aeons before they stand before the Archon herself. Soulguide Daelia will guide you in this process. Seek her out in the chamber below. 
Dark_Developments_(Kyrian),"<The torn design document appears to be written by the late Surgeon Stitchflesh.> ...the kyrian flesh improves strength, obedience, and dexterity twofold! Such potential! Now, if subject number one-three-five succeeds in a proper wing transplant at last... <It continues on for some time. You should bring this to Artemede.> "
Dark_Developments_(Necrolord),"<The torn document appears to have been written by Surgeon Stitchflesh.> ...the kyrian flesh improves strength, obedience, and dexterity twofold! Such potential! Now, if subject number one-three-five succeeds in a proper wing transplant at last... <It continues on for some time. You should bring this to your kyrian allies.> "
Dark_Mojo_for_a_Dark_Loa,"How many times must de Necropolis come under attack? I suppose no one ever said worshipping Bwonsamdi would be easy... Bwonsamdi seeks to force Mueh'zala into revealing his secrets, and I must do my part to help. De undead swarming de Necropolis are animated by Mueh'zala's dark mojo.  Bwonsamdi needs some of dat mojo to finish his ritual. Strike down de undead and claim it. "
Daughter_of_the_Night_Warrior,"Find Shandris Feathermoon within Oribos. In my dreams, I see many things. Elven souls tortured in the Maw. A warrior of the night consumed by vengeance. And... Ardenweald's destruction. These visions are ever shifting... ever vague. But I believe Tyrande Whisperwind is key to saving the night elves, as well as this realm. Shandris Feathermoon, Tyrande's daughter, is touched by dreams as well. Even now, she travels to the Eternal City. Find her. If anyone can reach the heart of Tyrande, it is her. "
De_Other_Side_(quest),"Ay, dere <name>! Ya be just da <class> I've been lookin' for! It be your ol' pal Bwonsamdi reachin' out ta ya from De Other Side! I be havin' a little problem over here wit' de boss... Ya be lookin' mighty bored just standin' around here in Ardenweald. Why don't ya come to De Other Side and help out an ol' friend? Bwonsamdi promise he gonna make it worth ya while! Ya might want ta bring a few more adventurers wit' ya... just ta be safe. "
De_Other_Side:_Dealin%27_Wit%27_Da_Boss,"Ay, mon. Long time no see! I be havin' a bit of trouble wit' me boss, Mueh'zala. Now, now... don't you worry. Your ol' friend Bwonsamdi got dis whole ting under control! I just be needin' some help gatherin' me mojo back from a few ungrateful business partners. You bring me da mojo, and we goin' ta take care of ol' Mueh'zala once and for all! First you get da mojo, then I get da powa'... then we be gettin' Mueh'zala! Now dat da ol' boss be a captive audience, he and I goin' ta be makin' some new arrangements. Ya best be goin' now, but don't worry... I be seein' ya soon! ... ... "
De-Infiltration,Meet Prince Renathal in Sinfall. Mal'Ganis. It has been many ages since I have said his name. And now I find we must hunt him down. If he has the Medallion of Wrath then there is nowhere he can hide. We can use the other medallions we have recovered to locate him. Join me in Sinfall and bring your dreadlord hunting party. I suspect we will have need of them. 
Dead_Drop,"Ta Repository Retrieve the Prototype Aquilon. Ta'nla requested something very... specific... on behalf of a client. The kyrian have been working on a new type of centurion they call an aquilon. I sent some of our trade specialists to retrieve the prototype in question, but they have yet to return.  Until I have the item, there is obviously no way I can ship it to Ta'nla. Perhaps we can help one another. If you can locate the aquilon and bring it here, I will help you reach Tazavesh. "
Dead_On_Their_Feet,"Dead On Their Feet is a potential quest of the Necrolord Assault on Perdition Hold. Use the Cohesion Crystal to create bodies for 10 Defiant Souls. As the Jailer twists the souls here to his will, there are still some that continue to resist him. I shall give you the ability to aid them in their resistance. Through Necrotic Cohesion we shall bind the runes, armor, and bones that reside here to create bodies for these souls. Bodies that will allow them to fight for us and their freedom! Bind the Zealous souls and build us an army! "
Death_Motes,"Collect Death Motes from Ruin's Cradle. I have a task for you, Maw Walker. Souls deemed suitable for service among the Mawsworn are broken down to their barest essence. The resulting creature forms a black shade, devoid of all individual will. It is a tragic end. I wish to better understand this process--what is it about a soul that causes this transformation? Fragments of broken souls rain down across Ruin's Cradle. Bring me some of them, so that I might learn more about our common adversaries. "
Death_Rains,"With its repeated invasions here, the House of Constructs continues to sully the honor of Maldraxxus. We cannot salvage that honor until justice is done. May we mete it so thoroughly that none will ever attempt this desecration again. Eliminate these traitors with me, <name>. Leave none standing. "
